ID_Record,Legal Account,Bus External ID,Legal Firm,Legal Type,Legal Type Def,Legal Status,LE Creation Date,LE Modified Date,LE Closed Date,Legal Tax Category,IRS TIN ID,MPID,GIIN ID,FACTA ID,WCIS ID,TEFRA ID,Flag LE Closed Date vs LE Modified Date,Flag LE Closed Date vs LE Creation Date,Flag Closed Date vs Status
915,37894022,8GER0715,Owens & King Defenders,AFFRS,Affairs,ACTIVE,2000-02-07,2018-05-12,,Bt,4172605,429658,875802,696444566,11955,3058929,N,N,N
623,72538149,6JUD0418,Jackson & Vasquez Defenders,GUNTE,"The bank guarantee means that the lender will ensure that the liabilities of a debtor will be met. In other words, if the debtor fails to settle a debt, the bank will cover it",CLOSED,1998-09-02,2014-07-05,2019-04-29,N,8056779,325714,374015,945803586,53717,2382147,N,N,N
440,82830839,4FAB0251,Garcia & Zimmerman Legal,AFF,Available Funds File,ACTIVE,1996-07-18,2022-12-05,,Ba,3064920,325448,929609,871574762,43090,9967415,N,N,N
651,61989482,1UNX0592,Jackson & Anderson Associates,ADVIS,Legal Advisor,ACTIVE,2019-04-03,2019-06-03,,M,2663712,689074,489515,351947834,42874,6468084,N,N,N
92,15016262,0DTZ0553,Carter & Smith Consultants,TTEE,"In the case of the certificate of deposit, the trustee is most likely someone charged with taking care of the money until the person it is intended for comes of an age to receive it",HISTORY,2007-12-07,2008-01-14,2013-03-18,Bt,8160813,322434,182180,297778261,96081,6838439,N,N,N
938,64878326,3ZEV0639,Parker & Nelson Advisors,ADVIS,Legal Advisor,HISTORY,2002-03-20,2009-11-24,2016-02-02,D,7450962,515953,111447,901472778,18832,9116941,N,N,N
950,39688039,4QFO0828,Quinn & Williams Associates,AGENT,An agent bank acts as a bank performing some specific duties on behalf of another party,ACTIVE,2020-10-08,2022-07-28,,I,4556968,525842,244739,387803657,75537,3567986,N,N,N
986,84400855,1JSX0800,Young & Lewis Prosecutors,CORP,Corporation Division,ACTIVE,1996-01-19,2000-04-30,,I,4486303,492640,723393,488944458,33768,7115834,N,N,N
66,67243915,1VGY0395,,GUNTE,"The bank guarantee means that the lender will ensure that the liabilities of a debtor will be met. In other words, if the debtor fails to settle a debt, the bank will cover it",ACTIVE,2018-12-15,,,N,4996874,590356,270181,265485311,13052,9206052,N,N,N
710,30005766,9RFG0850,Jackson & King Law,GUNTE,"The bank guarantee means that the lender will ensure that the liabilities of a debtor will be met. In other words, if the debtor fails to settle a debt, the bank will cover it",ACTIVE,2012-07-10,2023-07-11,,D,6983063,927847,877893,577747497,84202,6077636,N,N,N
619,40635398,2KBE0157,Baker & Zimmerman Advisors,CREDIT,Credit Account,ACTIVE,2000-08-06,2020-08-13,,Bt,2043093,234420,118351,942176659,65157,8061098,N,N,N
845,38563885,8AKC0470,,CREDIT,Credit Account,ACTIVE,2000-06-09,2002-03-08,,G,7747615,943067,492496,319903702,22630,6322592,N,N,N
343,88675739,9WDK0921,Underwood & Vasquez Associates,AFFRS,Affairs,ACTIVE,1992-04-08,,,I,6541364,312305,699793,508845026,40085,7831391,N,N,N
813,58335111,0WXQ0844,,AFFRS,Affairs,HISTORY,2012-05-28,2018-02-11,2020-06-25,M,1040322,509381,937516,556313979,61896,8130025,N,N,N
708,33429565,5CPS0102,Martin & Evans Justice,AGENT,An agent bank acts as a bank performing some specific duties on behalf of another party,ACTIVE,2013-04-07,2017-12-05,,Ba,1924586,989025,777843,706322966,33152,5696725,N,N,N
659,88074438,8CUQ0628,Harris & Baker Advocates,CORP,Corporation Division,ACTIVE,2022-02-19,2023-07-06,,M,1858249,597678,284549,382106710,19465,7534758,N,N,N
853,67449811,4EOH0713,Zimmerman & Anderson Barristers,AFD,Allowance For Depreciation,ACTIVE,1996-02-08,,,I,8946363,319751,401630,295053935,52861,8024193,N,N,N
441,60974153,5JAL0420,Owens & Evans Consultants,ADVIS,Legal Advisor,CLOSED,2011-10-03,2014-09-25,2015-09-19,D,1793966,666148,185798,402655696,67190,7939192,N,N,N
6,49961297,6ISN0506,Anderson & Baker Counselors,AG,Agriculture,ACTIVE,2020-11-23,2023-04-27,,Bt,9846005,396116,696907,425895123,42447,8234950,N,N,N
233,29026094,0YSB0536,Baker & Davis Associates,GUNTE,"The bank guarantee means that the lender will ensure that the liabilities of a debtor will be met. In other words, if the debtor fails to settle a debt, the bank will cover it",ACTIVE,1996-08-26,2020-06-20,,Bt,4999056,111990,567825,867703812,10321,8242561,N,N,N
346,17972223,6DWQ0277,Vasquez & Jackson Partners,AG,Agriculture,CLOSED,2019-06-25,2019-11-09,2020-02-23,Ba,3732774,595672,262202,657681437,88090,8371092,N,N,N
273,48384435,6WDY0542,Harris & Martin Prosecutors,AFF,Available Funds File,ACTIVE,1996-03-09,2004-02-08,,Ba,2327585,460841,454060,581799472,73288,5373122,N,N,N
818,96709480,5UBL0530,Nelson & Underwood Solicitors,BENE,Beneficiary credentail for investment,ACTIVE,1996-05-02,1998-12-04,,Ba,2269178,549480,773395,726878286,28217,1429035,N,N,N
953,84446142,3OPT0807,Anderson & Zimmerman Justice,AFF,Available Funds File,ACTIVE,1993-05-01,2012-08-28,,Ba,8797046,629473,727789,248540511,63671,6979995,N,N,N
445,78997439,0JFF0060,Jackson & Evans Solicitors,TTEE,"In the case of the certificate of deposit, the trustee is most likely someone charged with taking care of the money until the person it is intended for comes of an age to receive it",ACTIVE,2011-02-06,2011-04-04,,Bt,7089955,987164,908802,210788694,98260,5050858,N,N,N
717,28078006,3NAI0387,Parker & Martin Partners,AGENT,An agent bank acts as a bank performing some specific duties on behalf of another party,HISTORY,1992-12-21,2022-09-06,2023-01-04,D,4557731,394594,674526,956176640,35373,1297976,N,N,N
109,74302322,6TJK0012,Davis & Owens Litigators,AFF,Available Funds File,ACTIVE,2009-03-24,2010-02-18,,Ba,8734770,293129,495483,329382180,91786,7876624,N,N,N
206,95056949,5MSU0058,Quinn & Harris Counselors,BENE,Beneficiary credentail for investment,ACTIVE,2022-08-08,2022-10-25,,M,7015600,283757,569465,898334860,58157,7257134,N,N,N
933,43672606,9SSD0831,Roberts & Zimmerman Defenders,AG,Agriculture,ACTIVE,2011-09-10,2017-07-17,,Bt,8327189,127419,309940,437912889,79003,1785296,N,N,N
454,83248986,6INB0879,Roberts & Fisher Defenders,BENE,Beneficiary credentail for investment,ACTIVE,2023-04-05,2023-06-06,,G,3543158,264949,171434,932079013,76293,6210160,N,N,N
278,67272338,4YDY0467,Young & Owens Legal,CORP,Corporation Division,ACTIVE,1990-07-14,2015-05-06,,Ba,3712257,234638,403706,535846212,13249,2266748,N,N,N
928,52046885,7GAZ0802,Zimmerman & Parker Partners,AG,Agriculture,ACTIVE,1994-08-20,2020-04-21,,M,5170909,435704,216116,685066143,63903,6142737,N,N,N
710,88592430,4IFR0183,Nelson & Smith Litigators,TTEE,"In the case of the certificate of deposit, the trustee is most likely someone charged with taking care of the money until the person it is intended for comes of an age to receive it",ACTIVE,1994-06-24,2006-03-10,,G,9216602,634879,349157,423802892,30334,4062395,N,N,N
596,60284517,3XKP0503,Zimmerman & Lewis Prosecutors,CREDIT,Credit Account,HISTORY,2020-04-20,2020-06-19,2021-06-30,I,7332861,123386,560031,694891649,72366,6527958,N,N,N
472,11192066,9DFJ0570,Quinn & Fisher Advocates,AFD,Allowance For Depreciation,ACTIVE,1996-06-07,2000-08-24,,Ba,5724305,177147,197831,603022375,78784,4446269,N,N,N
130,60664996,4XIV0594,,AFF,Available Funds File,ACTIVE,2022-02-23,2023-05-24,,N,8687977,316533,400531,696961042,51770,3955519,N,N,N
277,70972539,6HPI0813,Carter & Fisher Associates,TRADR,Trader credential account,ACTIVE,1992-09-22,2009-03-16,,Bt,9928793,102094,134788,486468709,86620,9850262,N,N,N
639,41548069,0RXG0960,,AFD,Allowance For Depreciation,HISTORY,2008-04-15,2022-09-30,2023-09-04,Ba,3509389,395006,639134,655302039,31328,4172292,N,N,N
215,81243037,8AVX0137,Vasquez & Quinn Associates,TTEE,"In the case of the certificate of deposit, the trustee is most likely someone charged with taking care of the money until the person it is intended for comes of an age to receive it",HISTORY,2007-06-01,2014-05-07,2022-09-02,Bt,3281781,840902,260478,958378966,67185,4810083,N,N,N
547,21424926,7EIA0346,Garcia & Fisher Associates,BANK,Bank Division,ACTIVE,2016-10-14,2023-02-06,,D,7946797,863598,920403,354333643,71070,2025000,N,N,N
593,92898143,8BRS0983,Garcia & Smith Prosecutors,CREDIT,Credit Account,ACTIVE,2023-03-06,2023-06-18,,I,6523182,869969,724937,670854131,60481,1692763,N,N,N
126,64189844,4UGT0105,Young & Davis Counselors,AGENT,An agent bank acts as a bank performing some specific duties on behalf of another party,ACTIVE,1995-09-11,2022-05-03,,Bt,4258291,590832,954004,787650831,39420,5314058,N,N,N
422,89955809,2RWA0510,Zimmerman & Evans Consultants,BENE,Beneficiary credentail for investment,ACTIVE,2001-05-16,2009-03-13,,D,9351447,159164,491775,246926320,47248,7662460,N,N,N
699,65877123,8RPB0259,Nelson & Martin Associates,BENE,Beneficiary credentail for investment,ACTIVE,1991-11-15,1996-08-12,,D,1748478,798282,438857,326623976,69179,1432271,N,N,N
640,19968148,4RUI0871,Young & Davis Advisors,TRADR,Trader credential account,ACTIVE,2005-08-12,,,Ba,7219417,525959,699043,182835177,73798,1734591,N,N,N
912,27798686,1SUZ0604,,TRADR,Trader credential account,HISTORY,2015-09-05,2019-08-18,2022-05-24,Bt,8829365,991000,985343,840000299,39598,5875735,N,N,N
713,65877123,5DGG0847,King & Jackson Legal,BENE,Beneficiary credentail for investment,ACTIVE,2010-12-18,2020-08-26,,I,8265656,172558,440977,738660041,37030,6241297,N,N,N
988,32118244,9SWM0837,Davis & Anderson Advocates,AFFRS,Affairs,ACTIVE,1997-02-18,,,N,4133503,939642,484561,973488785,64700,3800407,N,N,N
840,47665260,1FAZ0638,Nelson & Garcia Partners,AFD,Allowance For Depreciation,ACTIVE,2022-09-14,2023-01-04,,Ba,5678938,130509,746088,712935820,62117,4233859,N,N,N
121,51327477,7GNJ0257,Young & Carter Solicitors,CORP,Corporation Division,ACTIVE,2006-09-28,2020-12-14,,I,1608849,774190,318529,886199592,51384,1797180,N,N,N
874,52048326,7IMT0823,Evans & Owens Prosecutors,GUNTE,"The bank guarantee means that the lender will ensure that the liabilities of a debtor will be met. In other words, if the debtor fails to settle a debt, the bank will cover it",ACTIVE,2003-09-11,2014-11-13,,N,2601905,105845,990600,888227673,71506,9230775,N,N,N
641,20500952,5JKO0883,Underwood & Roberts Prosecutors,BANK,Bank Division,HISTORY,2020-12-12,2022-11-21,2023-09-25,N,4077844,479314,180467,789415123,59654,4837485,N,N,N
807,56095484,8FSO0090,Zimmerman & Smith Associates,GUNTE,"The bank guarantee means that the lender will ensure that the liabilities of a debtor will be met. In other words, if the debtor fails to settle a debt, the bank will cover it",HISTORY,2004-06-02,2021-12-10,2023-07-05,Bt,2465054,114950,264162,951809099,39592,3366501,N,N,N
990,91135906,0GYN0848,Lewis & Anderson Consultants,TRADR,Trader credential account,CLOSED,2018-03-19,2019-07-24,2022-05-01,I,9370039,581840,653630,484098928,53674,7131904,N,N,N
557,91554021,0YXO0770,Taylor & Underwood Associates,ADVIS,Legal Advisor,ACTIVE,2015-11-25,2016-07-02,,I,2111719,136787,244002,398349810,55788,2240420,N,N,N
509,63540920,0RLZ0542,Parker & Fisher Associates,AGENT,An agent bank acts as a bank performing some specific duties on behalf of another party,HISTORY,2020-05-31,2023-06-09,2024-01-27,Ba,7831948,368915,778399,255818987,15710,8050270,N,N,N
438,81434054,4MTE0494,Vasquez & Williams Prosecutors,TRADR,Trader credential account,ACTIVE,1997-05-18,2010-10-02,,I,4774563,372143,372299,317830888,25307,3099079,N,N,N
909,34062388,0LEX0507,,CORP,Corporation Division,ACTIVE,2013-05-30,2019-09-05,,D,3165361,507596,602405,759669257,80926,8785537,N,N,N
530,67805941,9TBR0547,Young & Martin Advocates,AFF,Available Funds File,ACTIVE,2022-01-01,2022-11-12,,I,4669786,644504,833843,312522677,91213,7632310,N,N,N
835,35771047,1KBM0358,Underwood & Harris Barristers,AFD,Allowance For Depreciation,ACTIVE,1994-06-26,2014-07-12,,Ba,3845688,727931,219200,715219513,95995,7032246,N,N,N
545,44510644,7YKS0956,Owens & Anderson Law,BANK,Bank Division,ACTIVE,2015-07-15,2018-03-26,,G,9706311,750629,758607,936537385,51146,9512112,N,N,N
838,62420566,8XBE0600,Roberts & Williams Counselors,ADVIS,Legal Advisor,ACTIVE,2007-04-27,2022-05-28,,Bt,8747083,214418,267076,413052519,45249,6954305,N,N,N
691,53120024,8RPB0259,Williams & Nelson Counselors,CORP,Corporation Division,ACTIVE,2020-06-21,2023-10-17,,D,1371038,668177,190132,560283374,27161,3167392,N,N,N
129,82132774,3HOR0691,Evans & Davis Counsel,ADVIS,Legal Advisor,HISTORY,2001-09-14,,2022-01-22,M,1642278,826876,472000,278538092,46794,9952161,N,N,N
512,27123129,2KMH0627,Harris & Vasquez Prosecutors,TRADR,Trader credential account,ACTIVE,2009-07-09,2018-09-05,,Bt,3678919,697060,174232,775728895,32411,2004750,N,N,N
585,52209813,5GAX0646,Harris & Jackson Advisors,AGENT,An agent bank acts as a bank performing some specific duties on behalf of another party,ACTIVE,2014-08-23,2017-11-22,,I,6245064,813028,710529,196351326,11840,3176038,N,N,N
847,11192066,3HUD0850,Carter & Davis Advisors,AG,Agriculture,ACTIVE,2008-08-22,2023-07-08,,D,7637205,509906,943356,266786619,33188,9653377,N,N,N
529,61441563,9OVE0088,Young & Harris Advocates,AFF,Available Funds File,ACTIVE,1991-08-15,2020-11-26,,I,4991154,594377,811224,268259093,77108,8883037,N,N,N
308,15355224,8RSI0029,Taylor & Jackson Attorneys,ADVIS,Legal Advisor,ACTIVE,1998-07-15,2012-11-01,,Bt,8015910,256557,389927,529888789,63132,2510679,N,N,N
96,33771779,8IAV0556,Quinn & Anderson Attorneys,AG,Agriculture,ACTIVE,1998-09-11,2017-11-15,,Ba,8676483,282300,835821,750378070,44949,9780728,N,N,N
879,64878326,0VPD0009,Baker & Roberts Solicitors,TRADR,Trader credential account,ACTIVE,1995-07-13,2019-08-15,,I,6736860,501240,682540,212411953,99231,6923036,N,N,N
377,20361857,1PBS0010,Nelson & King Counsel,AG,Agriculture,ACTIVE,2023-07-05,2023-08-25,,D,8082851,626606,779201,252219990,63860,5003238,N,N,N
777,32173805,4RSX0571,Vasquez & Smith Defenders,CORP,Corporation Division,ACTIVE,2007-04-23,2023-09-21,,G,1957174,333791,286141,736610564,43977,5611731,N,N,N
530,67583285,7QUK0308,Williams & Vasquez Justice,GUNTE,"The bank guarantee means that the lender will ensure that the liabilities of a debtor will be met. In other words, if the debtor fails to settle a debt, the bank will cover it",HISTORY,1996-04-18,,2023-06-03,N,6011400,333728,558871,339375914,80916,3178866,N,N,N
154,61606535,8IAV0556,Owens & Harris Advisors,AFF,Available Funds File,ACTIVE,2009-01-21,2023-02-11,,I,9493385,699495,958710,220671520,74663,9725839,N,N,N
7,92486693,4UJN0081,Jackson & Parker Consultants,AGENT,An agent bank acts as a bank performing some specific duties on behalf of another party,ACTIVE,2005-04-29,,,I,5411702,195222,453012,928580096,83327,1868025,N,N,N
367,72829139,4RZT0682,,BANK,Bank Division,ACTIVE,1991-07-08,,,G,1756503,224994,292338,251237601,74800,3162540,N,N,N
10,46538524,7QYU0627,Roberts & Martin Associates,AGENT,An agent bank acts as a bank performing some specific duties on behalf of another party,HISTORY,1993-05-12,,2004-12-29,N,6021757,318884,238759,181000987,64844,3995754,N,N,N
927,68766296,9NID0743,Jackson & Evans Solicitors,ADVIS,Legal Advisor,ACTIVE,1993-06-07,2014-11-29,,D,3033351,666912,303586,172710375,57983,2880529,N,N,N
602,62640255,4BSY0249,Vasquez & Zimmerman Advocates,AFF,Available Funds File,ACTIVE,2018-05-27,2024-01-04,,Bt,1231367,622652,126351,897750192,50030,3693386,N,N,N
698,79775376,9STJ0746,Fisher & Harris Justice,AFD,Allowance For Depreciation,CLOSED,2007-05-19,2017-12-26,2022-05-29,I,5991721,637343,708553,135207351,25073,5745984,N,N,N
421,52405006,8BQQ0484,Carter & Jackson Justice,TRADR,Trader credential account,ACTIVE,1993-12-19,1996-02-25,,G,4907509,121970,545551,189569618,47861,1567882,N,N,N
485,18572216,8RVG0014,Nelson & Parker Advocates,BENE,Beneficiary credentail for investment,ACTIVE,2012-10-14,2020-10-30,,M,5727527,421912,248121,939490316,84939,2432909,N,N,N
810,19901546,1GIL0121,Underwood & Vasquez Counselors,GUNTE,"The bank guarantee means that the lender will ensure that the liabilities of a debtor will be met. In other words, if the debtor fails to settle a debt, the bank will cover it",CLOSED,1990-02-15,2007-06-10,2018-06-17,M,1774707,890327,845020,629134456,55551,6482859,N,N,N
871,36961268,4TAG0594,Lewis & King Law,BENE,Beneficiary credentail for investment,ACTIVE,2004-06-06,2013-09-03,,G,3370722,966856,423414,766223934,76258,9187594,N,N,N
670,65134427,3UEQ0379,Taylor & Harris Counselors,CREDIT,Credit Account,ACTIVE,2013-07-22,2015-01-22,,G,7274019,970549,913672,796630943,53311,2842977,N,N,N
849,21259723,2MWS0546,Davis & Taylor Advocates,AFF,Available Funds File,ACTIVE,1999-03-08,2005-04-21,,Ba,9210444,799073,424179,165867115,41155,4775993,N,N,N
552,48937510,7COG0915,Williams & Harris Litigators,AFFRS,Affairs,ACTIVE,1999-07-19,1999-12-31,,N,3810162,909954,141493,758337635,69872,5312422,N,N,N
823,83054319,2WAN0007,Roberts & Vasquez Advocates,TTEE,"In the case of the certificate of deposit, the trustee is most likely someone charged with taking care of the money until the person it is intended for comes of an age to receive it",ACTIVE,2019-03-13,,,Bt,2929174,698732,240873,432676627,30607,4908491,N,N,N
996,23259595,2UZN0376,,CORP,Corporation Division,ACTIVE,2008-11-15,2023-07-19,,Bt,6312593,700680,206165,184854767,90737,6530272,N,N,N
230,80850471,8XOQ0018,Carter & Owens Solicitors,AFFRS,Affairs,ACTIVE,2023-09-13,2023-11-18,,N,8728311,436606,837767,233915563,88256,5836125,N,N,N
167,60165900,9UVJ0691,Harris & Owens Associates,GUNTE,"The bank guarantee means that the lender will ensure that the liabilities of a debtor will be met. In other words, if the debtor fails to settle a debt, the bank will cover it",HISTORY,2018-05-21,2022-03-14,2023-08-18,N,2005567,577113,107524,356529821,33196,3649361,N,N,N
744,88306991,5DTH0369,,CORP,Corporation Division,ACTIVE,2002-07-28,2006-02-25,,I,5372354,817190,983524,148025938,23402,5050205,N,N,N
587,75522338,6GQI0398,Underwood & Baker Attorneys,AGENT,An agent bank acts as a bank performing some specific duties on behalf of another party,ACTIVE,2017-12-08,,,Bt,9064702,157324,213247,856737901,93935,3377058,N,N,N
101,24350283,4LJX0315,Evans & Zimmerman Prosecutors,AG,Agriculture,ACTIVE,2007-06-28,2019-11-11,,G,1432147,194450,823538,431873008,93083,4790234,N,N,N
859,87656751,5GUV0362,Baker & Lewis Counsel,AG,Agriculture,HISTORY,1998-02-12,2011-08-18,2011-11-13,Ba,6260533,473676,650804,589187674,43930,3433846,N,N,N
141,69325069,5ZFR0727,Anderson & Garcia Justice,TTEE,"In the case of the certificate of deposit, the trustee is most likely someone charged with taking care of the money until the person it is intended for comes of an age to receive it",ACTIVE,2016-04-21,,,D,6312396,106432,972495,570667215,54342,3712931,N,N,N
263,32881232,3PPE0940,Garcia & Zimmerman Legal,TRADR,Trader credential account,ACTIVE,1990-10-09,2004-01-01,,Bt,8928506,140209,475431,115270489,72750,2351000,N,N,N
386,88467734,6RVF0006,Anderson & Williams Prosecutors,BANK,Bank Division,CLOSED,2018-10-12,,2021-04-25,M,8617436,654853,667639,253539891,48813,9025311,N,N,N
830,88392265,7IDU0561,Davis & King Partners,BANK,Bank Division,ACTIVE,2009-03-12,2012-07-17,,I,4048264,214708,645809,695311368,79831,9855262,N,N,N
252,64189844,6AOH0402,Quinn & Anderson Partners,TRADR,Trader credential account,ACTIVE,1991-01-14,2007-08-29,,M,8240711,777581,606590,997110711,80215,4972050,N,N,N
345,71507569,1ASM0540,Quinn & Young Associates,AFD,Allowance For Depreciation,CLOSED,2004-07-18,2013-06-21,2017-01-27,Ba,3392542,858703,826258,761751631,53354,3694541,N,N,N
35,67292498,2ZLK0306,Roberts & Fisher Defenders,GUNTE,"The bank guarantee means that the lender will ensure that the liabilities of a debtor will be met. In other words, if the debtor fails to settle a debt, the bank will cover it",ACTIVE,2006-04-29,2021-09-14,,N,3456352,250901,287337,917064919,72660,7016710,N,N,N
648,16516942,2GGI1000,,CREDIT,Credit Account,HISTORY,2020-07-17,2023-01-03,2023-08-05,D,2133211,240472,335411,940568362,26931,6578620,N,N,N
531,10112444,4UJN0081,Smith & Owens Associates,AFFRS,Affairs,HISTORY,1993-11-30,2014-07-03,2020-01-22,G,3168673,979343,717416,371801306,42897,2195242,N,N,N
49,53456759,9TZU0480,Young & Evans Justice,AG,Agriculture,ACTIVE,2023-06-22,2024-01-01,,Bt,8907756,620403,950543,343949800,46682,4156332,N,N,N
